# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.00590053 0.00078125
18 0.875 0.0854692 0.0166016
19 0.925 0.544882 0.121094
20 0.975 1.08814 0.374023
21 1.025 1.36272 0.72334
22 1.075 1.42324 1.13311
23 1.125 1.41501 1.56445
24 1.175 1.33194 2.00518
25 1.225 1.20839 2.43525
26 1.275 1.13731 2.8749
27 1.325 1.06328 3.31152
28 1.375 0.997962 3.75127
29 1.425 1.02282 4.2291
30 1.475 0.975814 4.70566
31 1.525 0.935776 5.20078
32 1.575 0.92492 5.71738
33 1.625 0.898603 6.25469
34 1.675 0.890002 6.82598
35 1.725 0.887367 7.43242
36 1.775 0.924179 8.09316
37 1.825 0.943374 8.80947
38 1.875 0.938271 9.56113
39 1.925 0.956256 10.3798
40 1.975 1.01649 11.2822
41 2.025 1.0056 12.2262
42 2.075 1.00767 13.2279
43 2.125 1.03314 14.288
44 2.175 1.00821 15.3764
45 2.225 1.01716 16.5192
46 2.275 1.01678 17.7159
47 2.325 0.99739 18.9398
48 2.375 1.01611 20.2438
49 2.425 1.00958 21.5809
50 2.475 0.993236 22.9575
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000325935 9.76563e-05
18 0.875 0.0210315 0.00761719
19 0.925 0.362802 0.156348
20 0.975 1.29664 0.758105
21 1.025 2.13164 1.85469
22 1.075 2.26155 3.13535
23 1.125 2.01017 4.38105
24 1.175 1.68322 5.51455
25 1.225 1.39473 6.53398
26 1.275 1.16015 7.4501
27 1.325 1.00182 8.30469
28 1.375 0.895126 9.12432
29 1.425 0.820106 9.93105
30 1.475 0.773143 10.7453
31 1.525 0.737435 11.5765
32 1.575 0.741498 12.467
33 1.625 0.755584 13.4355
34 1.675 0.787914 14.5095
35 1.725 0.838375 15.7211
36 1.775 0.876077 17.0671
37 1.825 0.949629 18.6101
38 1.875 1.02308 20.3652
39 1.925 1.07589 22.3112
40 1.975 1.12604 24.4565
41 2.025 1.15653 26.7747
42 2.075 1.15097 29.1954
43 2.125 1.13781 31.7021
44 2.175 1.10724 34.2559
45 2.225 1.0611 36.8129
46 2.275 1.03256 39.4116
47 2.325 0.993333 42.0239
48 2.375 0.961806 44.662
49 2.425 0.941807 47.3516
50 2.475 0.931458 50.1232
3000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00816812 0.00332031
19 0.925 0.27736 0.128613
20 0.975 1.33848 0.800977
21 1.025 2.33873 2.09971
22 1.075 2.48633 3.61836
23 1.125 2.13007 5.04316
24 1.175 1.73746 6.31074
25 1.225 1.38257 7.40693
26 1.275 1.12609 8.37393
27 1.325 0.953989 9.25889
28 1.375 0.821337 10.0792
29 1.425 0.736374 10.8689
